Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2MTR C2,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,N7RUG,146.610000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
11,KE7UUJ,146.655000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
12,WY7U,146.940000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
13,KA7PJK,147.300000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,N7ABC,444.500000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
20,SO1E,155.415000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
21,SO1W,155.415000,,0.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
22,FD1,155.055000,,0.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
23,FD2,155.805000,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
24,RSPD,154.800000,,0.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
25,RSFD,154.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,RSEMS,155.355000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
61,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
62,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
63,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
64,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
65,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
66,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
67,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
68,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
69,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
70,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
71,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
76,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
79,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
102,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
103,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
104,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
105,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
106,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
107,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
108,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
109,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
110,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
